City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,echuca,-36.1333,144.75,4.72,91,1,1.53,AU,1690316632
85,san carlos del zulia,9.0,-71.9135,34.84,46,99,2.01,VE,1690316632
86,anadyr,64.75,177.4833,12.28,81,75,5.0,RU,1690316632
87,manikpur,25.0667,81.1167,30.04,68,100,3.61,IN,1690316632
88,praia da vitoria,38.7333,-27.0667,24.14,78,40,4.04,PT,1690316633
89,bilibino,68.0546,166.4372,11.11,93,100,0.82,RU,1690316633
90,caussade,44.1608,1.5391,18.11,53,73,4.52,FR,1690316633
91,callao,-12.0667,-77.15,22.07,73,100,5.14,PE,1690316633
92,invercargill,-46.4,168.35,5.34,84,70,3.73,NZ,1690316633
93,crane,31.3974,-102.3501,36.99,18,24,7.15,US,1690316633
94,howard springs,-12.497,131.047,16.95,47,10,3.54,AU,1690316633
95,enoch,37.7733,-113.0244,34.14,22,0,5.66,US,1690316633
96,tura,25.5198,90.2201,24.0,97,99,2.35,IN,1690316535
97,kill devil hills,36.0307,-75.676,29.99,73,40,2.57,US,1690316634
98,isafjordur,66.0755,-23.124,8.49,77,90,3.92,IS,1690316634
99,namibe,-15.1961,12.1522,16.87,84,100,2.4,AO,1690316634
100,harpswell center,43.8018,-69.9842,27.84,90,91,4.02,US,1690316634
101,blackmans bay,-43.0167,147.3167,12.05,74,100,6.08,AU,1690316634
102,shimoda,34.6667,138.95,23.95,82,13,2.53,JP,1690316634
103,qaqortoq,60.7167,-46.0333,6.76,87,89,2.64,GL,1690316634
104,tadine,-21.55,167.8833,19.65,71,90,9.28,NC,1690316635
105,badger,64.8,-147.5333,25.63,65,75,3.6,US,1690316635
106,kibre mengist,5.8833,38.9833,16.29,81,100,1.54,ET,1690316635
107,pustoshka,56.3355,29.369,15.78,97,83,1.86,RU,1690316635
108,mount gambier,-37.8333,140.7667,5.64,97,100,2.22,AU,1690316635
109,whitehorse,60.7161,-135.0538,18.9,59,75,1.54,CA,1690316635
110,kodiak,57.79,-152.4072,14.73,77,0,3.09,US,1690316635
111,hawaiian paradise park,19.5933,-154.9731,26.73,89,100,2.57,US,1690316471
112,sabang,5.8933,95.3214,28.3,77,90,8.9,ID,1690316635
113,port elizabeth,-33.918,25.5701,9.16,93,39,2.06,ZA,1690316461
114,ode,7.7899,5.7117,22.52,90,19,1.74,NG,1690316636
115,vega de alatorre,20.0333,-96.6333,28.93,72,100,4.06,MX,1690316636
116,ribeira grande,38.5167,-28.7,23.76,68,20,2.06,PT,1690316554
117,jamestown,42.097,-79.2353,25.77,88,0,4.12,US,1690316348
118,brookings,44.3114,-96.7984,33.19,55,0,5.66,US,1690316616
119,cova figueira,14.8905,-24.2934,22.79,89,45,5.98,CV,1690316636
120,chonchi,-42.6128,-73.8092,10.56,90,63,2.84,CL,1690316636
121,parung,-6.4214,106.7331,26.18,75,67,1.52,ID,1690316636
122,farafangana,-22.8167,47.8333,20.37,75,96,5.43,MG,1690316637
123,nouadhibou,20.931,-17.0347,22.99,73,87,8.75,MR,1690316637
124,aasiaat,68.7098,-52.8699,3.75,91,92,2.96,GL,1690316571
125,kodinar,20.7903,70.7031,26.78,88,99,7.0,IN,1690316637
126,salekhard,66.53,66.6019,16.82,86,100,3.33,RU,1690316513
127,palmer,42.1584,-72.3287,29.02,59,100,1.96,US,1690316521
128,talnakh,69.4865,88.3972,14.56,74,0,0.87,RU,1690316637
129,bredasdorp,-34.5322,20.0403,7.39,75,0,0.87,ZA,1690316637
130,yur'yevets,57.3201,43.1041,15.96,80,100,1.38,RU,1690316637
131,juneau,58.3019,-134.4197,18.0,63,40,6.17,US,1690316638
132,harper,4.375,-7.7169,24.95,84,100,4.07,LR,1690316638
133,khorugh,37.4897,71.553,21.65,40,4,1.68,TJ,1690316638
134,revda,56.801,59.9303,13.77,79,74,1.41,RU,1690316638
135,belmonte,-15.8631,-38.8828,22.86,87,86,3.27,BR,1690316638
136,mazeikiai,56.3167,22.3333,13.68,96,94,3.07,LT,1690316638
137,tubarjal,30.4999,38.216,32.47,17,0,4.33,SA,1690316638
138,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,0,3.0,RU,1690316638
139,sinabang,2.4803,96.3801,26.42,85,100,1.86,ID,1690316638
140,uturoa,-16.7333,-151.4333,26.72,81,3,6.22,PF,1690316639
141,vilyuchinsk,52.9306,158.4028,15.15,79,9,1.62,RU,1690316639
142,coquimbo,-29.9533,-71.3436,16.85,77,75,5.66,CL,1690316366
143,luganville,-15.5333,167.1667,23.09,86,100,6.81,VU,1690316639
144,yorkton,51.2167,-102.4677,23.91,83,75,3.09,CA,1690316639
145,chadron,42.8294,-102.9999,36.82,22,0,8.75,US,1690316639
146,kanggye,40.9695,126.5852,20.41,97,100,1.29,KP,1690316639
147,dahlonega,34.5326,-83.9849,33.39,56,37,2.56,US,1690316640
148,nevel'sk,46.6733,141.8633,18.32,98,100,3.85,RU,1690316640
149,mount darwin,-16.7725,31.5838,14.98,56,1,2.64,ZW,1690316640
150,khurai,24.0436,78.3319,28.2,78,100,1.62,IN,1690316640
151,tome,-36.6167,-72.95,12.34,75,98,2.17,CL,1690316410
152,demba,-5.51,22.2667,25.61,29,6,1.36,CD,1690316640
153,lakatoro,-16.0999,167.4164,22.68,83,100,7.83,VU,1690316640
154,camana,-16.6228,-72.7111,19.04,75,40,3.83,PE,1690316640
155,guapimirim,-22.5372,-42.9819,27.24,65,0,0.66,BR,1690316640
156,hailar,49.2,119.7,16.48,86,100,2.86,CN,1690316641
157,berezovyy,51.6667,135.7,18.12,95,90,1.07,RU,1690316641
158,goondiwindi,-28.55,150.3167,8.41,86,0,3.16,AU,1690316641
159,khandyga,62.6667,135.6,15.89,97,19,1.38,RU,1690316641
160,sergeyevka,53.88,67.4158,18.94,58,100,0.87,KZ,1690316641
161,weihai,37.5017,122.1136,24.99,90,99,3.08,CN,1690316641
162,pregradnaya,43.9508,41.1994,15.21,90,0,2.01,RU,1690316642
163,pangkalanbuun,-2.6833,111.6167,23.09,94,100,1.17,ID,1690316642
164,shevchenko,48.5,35.0,25.38,50,10,4.71,UA,1690316573
165,darwin,-12.4611,130.8418,16.99,42,0,4.63,AU,1690316642
166,san rafael,-34.6177,-68.3301,18.12,21,0,1.02,AR,1690316642
167,sao joao da barra,-21.6403,-41.0511,24.05,84,6,6.07,BR,1690316358
168,puerto ayora,-0.7393,-90.3518,29.98,88,51,4.02,EC,1690316508
169,punta arenas,-53.15,-70.9167,1.37,73,73,4.1,CL,1690316553
170,xilin hot,43.9667,116.0333,21.39,51,100,2.92,CN,1690316642
171,saldanha,-33.0117,17.9442,9.03,66,47,4.27,ZA,1690316643
172,plettenberg bay,-34.0527,23.3716,12.67,57,0,1.52,ZA,1690316643
173,vila franca do campo,37.7167,-25.4333,23.23,74,49,1.23,PT,1690316643
174,lihue,21.9789,-159.3672,28.77,72,75,7.2,US,1690316643
175,west island,-12.1568,96.8225,24.99,65,40,10.29,CC,1690316537
176,sidi khaled,34.387,4.9879,38.96,7,0,6.47,DZ,1690316643
177,remire-montjoly,4.9167,-52.2667,27.02,94,75,1.54,GF,1690316643
178,contamana,-7.3333,-75.0167,35.56,32,69,1.51,PE,1690316644
179,iskateley,67.6803,53.1512,15.74,73,28,3.92,RU,1690316644
180,vorkuta,67.5,64.0,16.25,84,100,2.74,RU,1690316644
181,balboa,2.0396,-77.2168,26.06,51,81,2.86,CO,1690316644
182,santa ines,-3.6667,-45.38,31.08,52,30,1.34,BR,1690316644
183,slave lake,55.2834,-114.769,14.99,77,100,11.32,CA,1690316645
184,codrington,-38.2667,141.9667,6.19,94,99,3.25,AU,1690316645
185,susehri,40.1644,38.0867,15.09,88,29,1.23,TR,1690316645
186,sosua,19.7667,-70.5167,32.99,66,75,8.23,DO,1690316645
187,mont-dore,-22.2833,166.5833,20.56,99,94,4.94,NC,1690316645
188,ghat,24.9647,10.1728,35.57,11,92,3.59,LY,1690316645
189,afaahiti,-17.75,-149.2833,25.93,81,0,6.86,PF,1690316645
190,mount isa,-20.7333,139.5,14.87,82,40,3.09,AU,1690316589
191,portland,45.5234,-122.6762,26.93,46,75,3.6,US,1690316475
192,alice springs,-23.7,133.8833,5.75,70,0,0.0,AU,1690316646
193,aykhal,66.0,111.5,16.52,70,100,2.28,RU,1690316646
194,kochubey,44.3861,46.5825,24.17,73,0,2.86,RU,1690316646
195,pionerskiy,54.9508,20.2275,16.53,74,100,6.8,RU,1690316646
196,dudinka,69.4058,86.1778,14.79,59,0,5.14,RU,1690316504
197,tsiombe,-25.3,45.4833,16.59,62,22,2.19,MG,1690316646
198,enewetak,11.3474,162.3373,28.53,77,32,6.48,MH,1690316568
199,san felipe,10.3399,-68.7425,29.12,72,92,2.46,VE,1690316647
200,beipiao,41.7919,120.7792,20.61,95,0,1.75,CN,1690316647
201,queenstown,-31.8976,26.8753,10.26,17,100,2.47,ZA,1690316647
202,port alfred,-33.5906,26.891,15.18,63,100,4.91,ZA,1690316510
203,arraial do cabo,-22.9661,-42.0278,23.98,78,0,7.72,BR,1690316648
204,sattahip,12.6664,100.9007,28.05,78,20,2.06,TH,1690316648
205,bikenibeu village,1.3673,173.1241,25.98,94,100,3.09,KI,1690316648
206,haiku-pauwela,20.9219,-156.3051,28.43,64,20,10.8,US,1690316649
207,prado,-17.3411,-39.2208,22.24,90,75,3.13,BR,1690316649
208,payakumbuh,-0.2202,100.6308,20.14,92,61,1.47,ID,1690316649
209,keflavik,64.0049,-22.5624,13.95,71,75,4.63,IS,1690316512
210,karoi,-16.8099,29.6925,14.44,51,0,3.48,ZW,1690316650
211,saint-denis,48.9167,2.3333,17.09,75,40,2.57,FR,1690316650
212,glace bay,46.1969,-59.957,30.99,51,75,4.12,CA,1690316650
213,ondjiva,-17.0667,15.7333,17.02,29,85,1.03,AO,1690316651
214,puerto madryn,-42.7692,-65.0385,12.98,52,4,7.49,AR,1690316522
215,bengkulu,-3.8004,102.2655,23.82,90,4,1.75,ID,1690316651
216,newman,37.3138,-121.0208,36.19,11,1,1.65,US,1690316651
217,bayaguana,18.7564,-69.6362,33.75,46,100,6.47,DO,1690316652
218,ulsteinvik,62.3432,5.8487,16.61,91,100,2.68,NO,1690316652
219,ed damer,17.5928,33.9592,36.85,24,65,6.92,SD,1690316652
220,enshi,30.3,109.4833,23.47,97,100,0.07,CN,1690316652
221,camara de lobos,32.6333,-16.9667,23.89,90,75,3.09,PT,1690316653
222,nogliki,51.8333,143.1667,13.4,98,99,2.92,RU,1690316653
223,mindelo,16.8901,-24.9804,26.75,69,75,8.75,CV,1690316653
224,kargasok,59.0556,80.8572,14.56,94,3,2.51,RU,1690316653
225,salalah,17.0151,54.0924,26.05,94,100,3.09,OM,1690316653
226,fort mcmurray,56.7268,-111.381,17.77,94,75,1.03,CA,1690316394
227,barranca,-10.75,-77.7667,21.47,71,17,6.0,PE,1690316654
228,kas,36.2018,29.6377,30.1,31,0,2.92,TR,1690316654
229,rocha,-34.4833,-54.3333,12.26,90,100,3.53,UY,1690316654
230,betio village,1.358,172.9211,26.02,74,54,2.46,KI,1690316654
231,hilo,19.7297,-155.09,26.85,85,100,2.57,US,1690316654
232,saipan,15.1355,145.701,27.58,100,75,3.6,MP,1690316655
233,pitimbu,-7.4706,-34.8086,26.33,73,100,5.47,BR,1690316655
234,lodwar,3.1191,35.5973,31.08,37,90,3.79,KE,1690316655
235,celendin,-6.8703,-78.1517,23.29,34,52,2.86,PE,1690316655
236,villa de cos,23.2833,-102.35,20.21,56,98,7.92,MX,1690316655
237,betafo,-19.8333,46.85,11.69,89,2,2.49,MG,1690316656
238,happy valley-goose bay,53.3168,-60.3315,21.17,73,75,5.66,CA,1690316656
239,swan hill,-35.3378,143.5544,5.67,88,0,1.23,AU,1690316656
240,sibu,2.3,111.8167,24.17,100,20,0.0,MY,1690316656
241,ingeniero jacobacci,-41.3427,-69.5448,4.86,73,89,7.26,AR,1690316656
242,quellon,-43.1167,-73.6167,9.14,87,75,3.09,CL,1690316656
243,igrim,63.1906,64.4162,15.85,97,100,1.39,RU,1690316656
244,cedeira,43.6797,-8.0209,18.87,78,93,2.59,ES,1690316657
245,rio preto da eva,-2.6994,-59.6997,36.49,25,5,1.55,BR,1690316657
246,lahij,13.1667,44.5833,34.58,36,99,0.78,YE,1690316657
247,cameron park,38.6688,-120.9872,37.18,22,0,2.24,US,1690316657
248,palikir - national government center,6.9248,158.1611,25.41,94,100,0.0,FM,1690316657
249,winnemucca,40.973,-117.7357,34.03,5,0,6.17,US,1690316657
250,san patricio,28.017,-97.5169,37.31,39,21,7.75,US,1690316560
251,st. john's,47.5649,-52.7093,29.6,57,75,4.12,CA,1690316572
252,mukalla,14.5425,49.1242,30.39,69,93,3.01,YE,1690316658
253,suva,-18.1416,178.4415,21.71,88,75,1.03,FJ,1690316563
254,yahyali,38.1023,35.357,18.92,50,0,2.56,TR,1690316658
255,minas novas,-17.2186,-42.5903,23.47,57,90,3.37,BR,1690316387
256,jalai nur,49.45,117.7,17.12,81,99,0.98,CN,1690316658
257,taoudenni,22.6783,-3.9836,42.75,12,67,4.43,ML,1690316658
258,chui,-33.6971,-53.4616,12.69,92,100,4.49,UY,1690316659
259,flin flon,54.7682,-101.865,24.91,50,75,4.12,CA,1690316548
260,geraldton,-28.7667,114.6,13.23,76,75,10.29,AU,1690316659
261,beberibe,-4.1797,-38.1306,26.66,73,59,5.45,BR,1690316659
262,el granada,37.5027,-122.4694,34.23,64,20,8.75,US,1690316659
263,zhezqazghan,47.7833,67.7667,27.83,24,22,7.17,KZ,1690316659
264,riohacha,11.5444,-72.9072,31.06,70,20,7.2,CO,1690316659
265,ta`u,-14.2336,-169.5144,25.42,70,26,4.52,AS,1690316660
266,norfolk,42.1668,-71.2495,30.35,76,97,2.65,US,1690316579
267,arfoud,31.4348,-4.2375,38.43,11,31,4.8,MA,1690316660
268,kapuskasing,49.4169,-82.4331,26.05,36,75,7.2,CA,1690316518
269,bathurst,-33.4166,149.5806,2.68,95,0,0.76,AU,1690316660
270,lensk,60.7253,114.9278,16.04,85,27,1.61,RU,1690316660
271,posto fiscal rolim de moura,-13.0833,-62.2667,35.49,22,0,1.46,BR,1690316660
272,hami,42.8,93.45,28.59,13,24,5.24,CN,1690316661
273,mbanza-ngungu,-5.25,14.8667,23.85,50,3,2.65,CD,1690316661
274,lloydminster,53.2835,-110.0016,23.12,64,75,5.66,CA,1690316661
275,willemstad,12.1084,-68.9335,28.95,79,20,2.57,CW,1690316661
276,la passe,45.5549,-0.8967,19.13,73,92,4.5,FR,1690316661
277,medina,24.4686,39.6142,37.24,8,0,3.09,SA,1690316372
278,karratha,-20.7377,116.8463,18.09,75,6,4.04,AU,1690316661
279,cooper's town,26.8667,-77.5167,29.56,69,82,4.61,BS,1690316662
280,cabo san lucas,22.8909,-109.9124,35.34,55,20,4.12,MX,1690316553
281,chillicothe,39.3331,-82.9824,30.55,57,0,1.54,US,1690316662
282,eskilstuna,59.3666,16.5077,18.88,72,100,3.16,SE,1690316495
283,vernon,50.2581,-119.2691,21.34,39,100,1.03,CA,1690316536
284,bambari,5.768,20.6757,20.77,98,95,0.89,CF,1690316662
285,villa regina,-39.1,-67.0667,15.84,30,4,11.25,AR,1690316662
286,cururupu,-1.8283,-44.8683,28.21,67,100,1.87,BR,1690316394
287,kresek,-6.1314,106.3797,26.73,86,55,1.84,ID,1690316662
288,nizhnyaya tavda,57.6731,66.1725,14.05,93,0,2.42,RU,1690316663
